Building Use Type,Building Use Subtype,Continent,Building Project Type,Floors Above Ground,Total Embodied Carbon PER m2
Non-residential,Education,Europe,New,3.5,100.0
Non-residential,Office,Europe,New,25.0,70.0
Non-residential,Office,Europe,New,25.0,70.0
Non-residential,Office,Europe,New,25.0,70.0
Non-residential,Office,Europe,New,10.5,50.0
Non-residential,Office,Europe,New,25.0,50.0
Residential,Other ,Europe,Renovation,10.5,42.66
Non-residential,Office,Europe,New,10.5,30.0
Non-residential,Office,Europe,New,10.5,30.0
Non-residential,Office,Europe,New,10.5,10.0
Non-residential,Education,North America,New,3.5,950.0
Non-residential,Public Assembly,North America,New,10.5,935.0
Non-residential,Education,North America,New,3.5,927.0
Non-residential,Other,North America,New,3.5,910.0
Non-residential,Public Assembly,North America,New,3.5,910.0
Non-residential,Education,North America,New,3.5,876.0
Non-residential,Education,North America,New,3.5,873.0
Non-residential,Other,North America,New,3.5,871.0
Non-residential,Mixed,Middle East,New,25.0,870.0
Non-residential,Education,North America,New,3.5,863.0
Non-residential,Other,North America,New,3.5,820.0
Non-residential,Lodging,North America,New,3.5,802.0
Non-residential,Education,North America,New,3.5,802.0
Non-residential,Education,North America,New,3.5,802.0
Non-residential,Education,North America,New,3.5,795.0
Non-residential,Health Care,North America,New,3.5,791.0
Non-residential,Public Assembly,North America,New,3.5,790.0
Non-residential,Other,North America,New,3.5,782.0
Residential,Other,North America,New,10.5,768.0
Non-residential,Education,North America,New,3.5,746.0
Non-residential,Other,North America,New,3.5,742.0
Non-residential,Public Assembly,Europe,New,25.0,701.0
Non-residential,Education,North America,New,3.5,665.0
Non-residential,Public Assembly,North America,New,3.5,662.0
Non-residential,Other,North America,New,3.5,661.0
Non-residential,Education,North America,New,10.5,661.0
Residential,Other,North America,New,25.0,655.0
Non-residential,Health Care,North America,New,3.5,652.0
Non-residential,Public Assembly,North America,New,3.5,651.0
Non-residential,Education,North America,New,3.5,648.0
Non-residential,Education,North America,New,3.5,645.0
Non-residential,Public Assembly,North America,New,3.5,644.0
Non-residential,Other,Europe,New,3.5,643.0
Residential,Other,Asia-Pacific,New,25.0,639.0
Non-residential,Public Assembly,Middle East,New,25.0,626.0
Non-residential,Health Care,North America,New,3.5,621.0
Non-residential,Education,North America,New,3.5,617.0
Non-residential,Public Assembly,North America,New,3.5,610.0
Non-residential,Education,North America,New,3.5,601.0
Non-residential,Education,North America,New,3.5,598.0
Non-residential,Mixed,Middle East,New,25.0,597.0
Non-residential,Public Assembly,North America,New,3.5,594.0
Non-residential,Mixed,North America,New,10.5,594.0
Non-residential,Education,North America,New,3.5,583.0
Non-residential,Education,North America,New,3.5,577.0
Non-residential,Education,North America,New,3.5,576.0
Non-residential,Public Assembly,Middle East,New,3.5,570.0
Non-residential,Health Care,North America,New,20.0,562.0
Non-residential,Public Assembly,North America,New,10.5,561.0
Non-residential,Public Assembly,Middle East,New,3.5,544.0
Non-residential,Other,North America,New,3.5,542.0
Non-residential,Other,Asia-Pacific,New,10.5,535.0
Non-residential,Lodging,North America,New,3.5,533.0
Non-residential,Health Care,North America,New,20.0,533.0
Non-residential,Mixed,North America,New,3.5,532.0
Non-residential,Other,North America,New,3.5,529.0
Residential,Other,Europe,New,10.5,528.0
Non-residential,Other,North America,New,3.5,516.0
Non-residential,Education,North America,New,3.5,515.0
Non-residential,Education,North America,New,3.5,510.0
Non-residential,Education,North America,New,3.5,509.0
Non-residential,Health Care,Africa,New,10.5,508.0
Non-residential,Public Assembly,North America,New,3.5,507.0
Non-residential,Education,North America,New,3.5,487.0
Non-residential,Health Care,North America,New,3.5,485.0
Non-residential,Other,North America,New,3.5,480.0
Non-residential,Other,North America,New,10.5,480.0
Non-residential,Public Assembly,North America,New,3.5,478.0
Residential,Other,North America,New,10.5,459.0
Non-residential,Education,North America,New,3.5,456.0
Non-residential,Public Assembly,Middle East,New,20.0,453.0
Non-residential,Education,North America,New,10.5,446.0
Non-residential,Education,North America,New,3.5,445.0
Residential,Other,North America,New,3.5,444.0
Non-residential,Other,Asia-Pacific,New,25.0,442.0
Non-residential,Public Assembly,North America,New,3.5,440.0
Non-residential,Public Assembly,North America,New,10.5,438.0
Residential,Other,Europe,New,10.5,437.0
Non-residential,Office,North America,New,20.0,436.0
Non-residential,Public Assembly,North America,New,3.5,435.0
Non-residential,Public Assembly,Middle East,New,25.0,433.0
Non-residential,Health Care,North America,New,25.0,428.0
Non-residential,Public Assembly,North America,New,3.5,425.0
Residential,Other,Asia-Pacific,New,25.0,424.0
Non-residential,Education,North America,New,3.5,424.0
Non-residential,Other,Europe,New,3.5,423.0
Non-residential,Other,North America,New,10.5,422.0
Non-residential,Education,North America,New,10.5,421.0
Non-residential,Mixed,Middle East,New,3.5,416.0
Non-residential,Education,North America,New,3.5,413.0
Non-residential,Mixed,North America,New,3.5,409.0
Non-residential,Health Care,Africa,New,10.5,408.0
Non-residential,Health Care,North America,New,10.5,406.0
Non-residential,Other,North America,New,25.0,405.0
Non-residential,Health Care,North America,New,25.0,402.0
Non-residential,Public Assembly,North America,New,3.5,402.0
Non-residential,Other,Asia-Pacific,New,25.0,401.0
Non-residential,Education,North America,New,3.5,401.0
Non-residential,Other,North America,New,3.5,399.0
Non-residential,Other,North America,New,10.5,392.0
Non-residential,Education,North America,New,3.5,391.0
Non-residential,Education,North America,New,3.5,389.0
Non-residential,Health Care,North America,New,10.5,389.0
Non-residential,Education,North America,New,3.5,386.0
Non-residential,Education,Middle East,New,3.5,383.0
Non-residential,Other,North America,New,3.5,381.0
Non-residential,Public Assembly,North America,New,10.5,381.0
Non-residential,Other,North America,New,25.0,380.0
Non-residential,Other,Middle East,New,25.0,379.0
Non-residential,Public Assembly,North America,New,3.5,377.0
Non-residential,Education,North America,New,10.5,374.0
Non-residential,Education,North America,New,3.5,371.0
Non-residential,Other,North America,New,25.0,364.0
Non-residential,Other,Middle East,New,10.5,361.0
Non-residential,Education,North America,New,3.5,359.0
Non-residential,Other,Asia-Pacific,New,25.0,356.0
Non-residential,Office,North America,New,3.5,356.0
Residential,Other,North America,New,25.0,355.0
Non-residential,Other,North America,New,3.5,352.0
Non-residential,Education,North America,New,3.5,344.0
Non-residential,Health Care,North America,New,3.5,343.0
Residential,Other,Asia-Pacific,New,20.0,342.0
Non-residential,Public Assembly,North America,New,10.5,341.0
Non-residential,Other,North America,New,10.5,341.0
Non-residential,Other,Middle East,New,3.5,340.0
Non-residential,Lodging,North America,New,20.0,336.0
Non-residential,Other,Middle East,New,10.5,335.0
Non-residential,Other,Europe,New,10.5,329.0
Residential,Other,Asia-Pacific,New,25.0,328.0
Non-residential,Other,North America,New,25.0,328.0
Residential,Other,North America,New,3.5,328.0
Non-residential,Public Assembly,North America,New,3.5,323.0
Non-residential,Public Assembly,North America,New,3.5,322.0
Non-residential,Office,Asia-Pacific,New,10.5,321.0
Non-residential,Other,Asia-Pacific,New,20.0,317.0
Non-residential,Public Assembly,North America,New,3.5,317.0
Residential,Other,Asia-Pacific,New,25.0,316.0
Non-residential,Mixed,Middle East,New,3.5,313.0
Non-residential,Mixed,North America,New,10.5,310.0
Non-residential,Health Care,North America,New,3.5,310.0
Residential,Other,North America,New,25.0,309.0
Non-residential,Public Assembly,North America,New,3.5,309.0
Non-residential,Education,North America,New,3.5,304.0
Non-residential,Health Care,North America,New,10.5,300.0
Non-residential,Public Assembly,North America,New,10.5,294.0
Non-residential,Mixed,North America,New,25.0,294.0
Non-residential,Other,Africa,New,25.0,292.0
Residential,Other,North America,New,10.5,292.0
Non-residential,Other,North America,New,3.5,289.0
Non-residential,Health Care,North America,New,3.5,286.0
Non-residential,Education,North America,New,3.5,286.0
Non-residential,Education,North America,New,3.5,286.0
Non-residential,Education,North America,New,3.5,285.0
Non-residential,Other,North America,New,10.5,285.0
Non-residential,Other,North America,New,25.0,283.0
Non-residential,Education,North America,New,3.5,277.0
Non-residential,Office,North America,New,3.5,276.0
Non-residential,Education,North America,New,3.5,274.0
Non-residential,Education,North America,New,3.5,273.0
Non-residential,Other,North America,New,3.5,272.0
Non-residential,Other,North America,New,25.0,266.0
Non-residential,Education,North America,New,3.5,266.0
Non-residential,Other,North America,New,3.5,264.0
Non-residential,Education,North America,New,3.5,262.0
Non-residential,Other,North America,New,20.0,261.0
Residential,Other,North America,New,10.5,260.0
Non-residential,Mixed,North America,New,25.0,260.0
