Building Project Type,Primary Foundation Type,Primary Ground_Floor Type,Primary Vertical Element Type,Primary Horizontal Element Type,Primary Slab Type,Primary Cladding Type,Primary Heating Type,Primary Cooling Type,Primary Finishes Type,Primary Ventilation Type,Total Embodied Carbon PER m2
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,120.37206651604895
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
New built,Reinforced pads/strips,Suspended,Timber,Timber,Timber,Other,Other,Other,Other,Other,92.48319062122869
Extension and retrofit,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,43.65828571428571
Extension and retrofit,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,43.65828571428571
Extension and retrofit,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,43.65828571428571
Extension and retrofit,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,43.65828571428571
Extension and retrofit,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,43.65828571428571
Extension and retrofit,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,43.65828571428571
Extension and retrofit,Piles (pile caps),Suspended,Steel,Steel,Concrete,Other,Other,Other,Other,Other,43.65828571428571
