Building Use Type,Building Use Subtype,Continent,Country,Total Users,Floors Above Ground,Floors Below Ground,Structure Type,Total Embodied Carbon PER m2
Residential,Single family house,North America,USA,-38.595707288523926,1.0,0.0,missing,1320.9999999999975
Residential,Single family house,North America,USA,-38.595707288523926,1.0,0.0,missing,1291.4999999999973
Residential,Single family house,North America,USA,0.8949724659579061,2.0,0.0,missing,2260.999999999995
Residential,Single family house,North America,USA,0.8949724659579061,2.0,0.0,missing,2306.4999999999945
Residential,Multi-family house,Asia,China,1872.963691740192,25.0,2.0,missing,337.0
Residential,Multi-family house,Asia,China,1695.3492420495677,23.0,2.0,missing,400.0
Residential,Single family house,Asia,Malaysia,-47.2704732641242,1.0,0.0,missing,62.5
Residential,Single family house,Asia,Malaysia,-47.2704732641242,1.0,0.0,missing,111.00000000000001
Residential,Single family house,Asia,Malaysia,-47.2704732641242,1.0,0.0,missing,69.5
Residential,Single family house,Asia,Malaysia,-47.2704732641242,1.0,0.0,missing,161.5
Residential,Single family house,Asia,Malaysia,-47.2704732641242,1.0,0.0,missing,41.0
Residential,Single family house,Asia,Malaysia,-47.2704732641242,1.0,0.0,missing,5.5
Residential,Multi-family house,Asia,China,758.4247438998557,17.0,1.0,missing,3544.499999999999
Residential,Multi-family house,Asia,China,758.4247438998557,17.0,1.0,missing,3625.0
Residential,Multi-family house,Asia,China,758.4247438998557,17.0,1.0,missing,2884.5
Residential,Multi-family house,Asia,China,758.4247438998557,17.0,1.0,missing,2599.9999999999995
Residential,Multi-family house,Asia,China,758.4247438998557,17.0,1.0,missing,2172.5
Residential,Multi-family house,Asia,South Korea,1070.0491576725374,25.0,1.0,missing,658.0
Residential,Single family house,Europe,France,2.0,2.173087934040231,0.0,massive brick,56.904999999999994
Residential,Single family house,Europe,France,2.0,2.173027129027224,0.0,massive brick,59.255
Residential,Multi-family house,Europe,France,30.0,4.0,1.0,massive concrete,68.83500000000001
Residential,Multi-family house,Europe,France,40.0,4.0,1.0,massive concrete,65.02
Residential,Single family house,Europe,France,2.0,2.1729460556765474,0.0,massive brick,380.12
Residential,Single family house,Europe,France,2.0,2.1731892757285767,0.0,massive brick,403.385
Residential,Single family house,Europe,France,2.0,1.0,0.0,massive brick,73.4
Residential,Single family house,Europe,France,2.0,2.173027129027224,0.0,massive brick,262.02
Residential,Single family house,Europe,France,2.0,2.173087934040231,0.0,massive brick,83.60499999999999
Residential,Single family house,Europe,France,2.0,1.0,1.0,massive brick,49.815
Residential,Single family house,Europe,France,2.0,2.1740608142483477,0.0,massive brick,57.215
Residential,Single family house,Europe,France,3.0,2.1915526813735187,0.0,massive brick,38.625
Residential,Single family house,Europe,France,2.0,2.172824445650533,0.0,massive brick,61.905
Residential,Single family house,Europe,France,3.0,1.0,0.0,frame wood,34.955000000000005
Residential,Single family house,Europe,France,3.0,2.0,1.0,massive brick,53.2
Residential,Multi-family house,Europe,France,8.0,2.276640621492087,0.0,frame wood,26.345000000000002
Residential,Multi-family house,Europe,France,6.0,2.2418393022807677,0.0,frame wood,30.005
Residential,Multi-family house,Europe,France,34.34,3.0,0.0,frame concrete,763.405
Residential,Single family house,Europe,France,2.18,2.0,0.0,massive brick,269.23
Residential,Single family house,Europe,France,2.18,2.0,1.0,massive brick,347.95
Residential,Single family house,Europe,France,2.2,2.1772105722654738,0.0,massive brick,611.3050000000001
Residential,Single family house,Europe,France,1.97,1.0,0.0,massive brick,43.34
Residential,Single family house,Europe,France,1.84,1.0,0.0,massive brick,64.27000000000001
Residential,Single family house,Europe,France,2.07,1.0,0.0,massive brick,57.095
Residential,Single family house,Europe,France,1.95,1.0,0.0,massive brick,58.655
Residential,Single family house,Europe,France,4.0,1.0,0.0,massive brick,83.65
Residential,Single family house,Europe,France,1.81,1.0,0.0,massive brick,59.465
Residential,Single family house,Europe,France,2.33,1.0,0.0,massive brick,44.495000000000005
Residential,Single family house,Europe,France,2.01,1.0,0.0,massive brick,96.78999999999999
Residential,Single family house,Europe,France,2.03,2.1738684764753704,0.0,massive brick,49.945
Residential,Single family house,Europe,France,2.53,2.1835264852330654,0.0,massive brick,45.695
Residential,Single family house,Europe,France,2.29,2.0,1.0,massive brick,693.32
Residential,Multi-family house,Europe,France,25.0,2.5699081584108305,0.0,massive brick,507.09999999999997
Residential,Single family house,Europe,France,2.37,2.0,1.0,massive brick,656.895
Residential,Single family house,Europe,France,2.14,1.0,0.0,massive brick,86.285
Residential,Single family house,Europe,France,2.0,1.0,0.0,massive brick,72.345
Residential,Single family house,Europe,France,2.0,2.1733919591052677,0.0,massive brick,81.67
Residential,Single family house,Europe,France,0.7374898851256972,2.0,0.0,frame wood,54.85
Residential,Single family house,Europe,France,0.7374898851256972,2.0,0.0,frame wood,56.75
Residential,Single family house,Europe,France,0.8249802078102562,2.0,0.0,frame wood,45.71
Residential,Single family house,Europe,France,0.7374898851256972,2.0,0.0,frame wood,56.75
Residential,Single family house,Europe,France,0.8249802078102562,2.0,0.0,frame wood,45.71
Residential,Multi-family house,Europe,France,25.25,3.0,0.0,frame concrete,46.410000000000004
Residential,Single family house,Europe,France,1.94,1.0,0.0,frame concrete,53.855
Residential,Multi-family house,Europe,France,25.71826752725177,2.578712701568211,0.0,frame concrete/wood,122.76
Residential,Multi-family house,Europe,France,25.979247784009175,2.583456159624557,0.0,frame concrete/wood,138.755
Residential,Single family house,Europe,France,13.0,2.0,0.0,frame wood,682.485
Residential,Single family house,Europe,France,15.0,2.0,0.0,frame wood,659.4
Residential,Single family house,Europe,France,10.0,2.0,0.0,frame wood,695.85
Residential,Single family house,Europe,France,15.0,2.0,0.0,frame wood,659.4
Residential,Single family house,Europe,France,10.0,2.0,0.0,frame wood,695.85
Residential,Single family house,Europe,France,2.56,2.0,1.0,massive brick,371.515
Residential,Single family house,Europe,France,2.55,2.0,0.0,massive brick,401.89000000000004
Residential,Multi-family house,Europe,France,52.2,9.0,0.0,massive brick,157.13
Residential,Multi-family house,Europe,France,55.0,5.0,0.0,massive concrete,712.145
Residential,Multi-family house,Europe,France,62.0,5.0,0.0,massive brick,503.48499999999996
Residential,Multi-family house,Europe,France,61.0,5.0,0.0,massive brick,527.465
Residential,Single family house,Europe,France,3.7,2.0,0.0,massive brick,79.49000000000001
Residential,Single family house,Europe,France,1.99,2.0,0.0,massive brick,293.82
Residential,Single family house,Europe,France,12.0,2.0,0.0,massive brick,75.73
Residential,Single family house,Europe,France,4.0,2.0,0.0,massive brick,84.14500000000001
Residential,Multi-family house,Europe,France,55.0,6.0,0.0,massive concrete,543.6600000000001
Residential,Single family house,Europe,France,1.91,2.1715570402415776,0.0,massive brick,585.29
Residential,Single family house,Europe,France,1.91,2.0,0.0,massive brick,595.4150000000001
Residential,Single family house,Europe,France,2.42,2.0,0.0,massive brick,549.165
