Building Public ID,Building Type,Building Use,Building Location Region,Building New or Renovation,Building Area in Square Meters,Building Area in Square Feet,Building Storeys,Life Cycle Assessment Year,Life Cycle Assessment Reference Period,Life Cycle Assessment Source Code,Life Cycle Assessment Stages,Life Cycle Assessment Building Scope,Life Cycle Assessment Material Quantity,Embodied Carbon Whole Building Excluding Operational,Embodied Carbon Life Cycle Assessment Area Per Square Meter,Minimum Building Area in Square Meters,Maximum Building Area in Square Meters,Minimum Building Area in Square Feet,Maximum Building Area in Square Feet,Minimum Building Storeys,Maximum Building Storeys
A04,Commercial,Office,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",7 to 14,1998,40,,C,SFEI,N,1098.8,,930,2323,10001,25000,7,14
A04,Commercial,Office,Asia-Pacific,New,930 to 2323,"10,001 to 25,000",7 to 14,1998,40,,C,SFEI,N,1226.45,,930,2323,10001,25000,7,14
A04,NonCommercial,Parking,Middle East,New,Over 92903,Over 1 million,7 to 14,2003,,,AB,SF,N,35300,,92903,inf,1000000,inf,7,14
A04,NonCommercial,Parking,Middle East,New,Over 92903,Over 1 million,7 to 14,2003,,,AB,SF,N,32500,,92903,inf,1000000,inf,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5317000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5317000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5184000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5069000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5682000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5682000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,6112000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,6112000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5442000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5442000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,6810000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,6810000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5699000,,9291,18580,100001,200000,7,14
A04,Commercial,Office,,New,9291 to 18580,"100,001 to 200,000",7 to 14,2009,,,A,S,N,5699000,,9291,18580,100001,200000,7,14
A04,Commercial,Health Care,,New,9291 to 18580,"100,001 to 200,000",1 to 6,2009,,,A,S,N,4284000,,9291,18580,100001,200000,1,6
A04,Commercial,Health Care,,New,9291 to 18580,"100,001 to 200,000",1 to 6,2009,,,A,S,N,4284000,,9291,18580,100001,200000,1,6
A04,Commercial,Health Care,,New,9291 to 18580,"100,001 to 200,000",1 to 6,2009,,,A,S,N,3942000,,9291,18580,100001,200000,1,6
A04,Commercial,Health Care,,New,9291 to 18580,"100,001 to 200,000",1 to 6,2009,,,A,S,N,3942000,,9291,18580,100001,200000,1,6
