Building Type,Building Use,Building Location Region,Building New or Renovation,Average Building Area in Square Meters,Average Building Storeys,Embodied Carbon Whole Building Excluding Operational
Commercial,Health Care,North America,New,92903.0,20.0,59764.2
Commercial,Public Assembly,North America,New,69677.5,10.5,26119.6
Commercial,Public Assembly,Middle East,New,3484.5,3.5,2235.84
Commercial,Other,North America,New,697.5,3.5,428.18
Commercial,Other,Asia-Pacific,New,69677.5,10.5,31809.5
Commercial,Lodging,North America,New,1626.5,3.5,617.21
Commercial,Health Care,North America,New,69677.5,20.0,35196.66
Commercial,Mixed,North America,New,697.5,3.5,296.32
Commercial,Other,North America,New,6968.0,3.5,3086.19
Residential,Other,Europe,New,32516.0,10.5,13221.65
Commercial,Other,North America,New,13935.5,3.5,5448.44
Commercial,Education,North America,New,1626.5,3.5,575.26
Commercial,Education,North America,New,13935.5,3.5,4838.37
Commercial,Education,North America,New,6968.0,3.5,2567.91
Commercial,Health Care,Africa,New,69677.5,10.5,31408.12
Commercial,Public Assembly,North America,New,32516.0,3.5,10613.54
Commercial,Education,North America,New,6968.0,3.5,3944.21
Commercial,Health Care,North America,New,1626.5,3.5,1063.61
Commercial,Other,North America,New,6968.0,3.5,2484.0
Commercial,Other,North America,New,32516.0,10.5,12372.48
Commercial,Public Assembly,North America,New,1626.5,3.5,812.12
Residential,Other,North America,New,32516.0,10.5,14430.5
Commercial,Education,North America,New,6968.0,3.5,3763.37
Commercial,Public Assembly,Middle East,New,32516.0,20.0,8515.04
Commercial,Education,North America,New,32516.0,10.5,8744.28
Commercial,Education,North America,New,3484.5,3.5,1922.4
Residential,Other,North America,New,1626.5,3.5,666.44
Commercial,Other,Asia-Pacific,New,92903.0,25.0,87313.12
Commercial,Public Assembly,North America,New,13935.5,3.5,5109.72
Commercial,Public Assembly,North America,New,69677.5,10.5,20392.84
Residential,Other,Europe,New,32516.0,10.5,11792.01
Commercial,Office,North America,New,32516.0,20.0,8192.44
Commercial,Public Assembly,North America,New,13935.5,3.5,5051.66
Commercial,Public Assembly,Middle East,New,69677.5,25.0,25302.36
Commercial,Health Care,North America,New,69677.5,25.0,39643.07
Commercial,Public Assembly,North America,New,13935.5,3.5,6498.25
Residential,Other,Asia-Pacific,New,69677.5,25.0,32698.88
Commercial,Education,North America,New,3484.5,3.5,1007.0
Commercial,Other,Europe,New,3484.5,3.5,1252.08
Commercial,Other,North America,New,6968.0,10.5,2156.42
Commercial,Education,North America,New,32516.0,10.5,15644.78
Commercial,Mixed,Middle East,New,32516.0,3.5,10068.45
Commercial,Education,North America,New,6968.0,3.5,3453.09
Commercial,Mixed,North America,New,1626.5,3.5,482.62
Commercial,Health Care,Africa,New,32516.0,10.5,17136.0
Commercial,Health Care,North America,New,32516.0,10.5,10561.28
Commercial,Other,North America,New,92903.0,25.0,68957.33
Commercial,Health Care,North America,New,92903.0,25.0,56569.84
Commercial,Public Assembly,North America,New,13935.5,3.5,5904.98
Commercial,Other,Asia-Pacific,New,69677.5,25.0,24380.8
Commercial,Education,North America,New,6968.0,3.5,2980.23
Commercial,Other,North America,New,32516.0,3.5,8988.67
Commercial,Other,North America,New,69677.5,10.5,22700.33
Commercial,Education,North America,New,6968.0,3.5,2463.69
Commercial,Education,North America,New,6968.0,3.5,2315.33
Commercial,Health Care,North America,New,32516.0,10.5,10549.29
Commercial,Education,North America,New,3484.5,3.5,1646.29
Commercial,Education,Middle East,New,69677.5,3.5,21169.56
Commercial,Other,North America,New,92903.0,3.5,49554.0
Commercial,Public Assembly,North America,New,32516.0,10.5,7101.84
Commercial,Other,North America,New,92903.0,25.0,42559.62
Commercial,Other,Middle East,New,92903.0,25.0,38730.77
Commercial,Public Assembly,North America,New,13935.5,3.5,6829.73
Commercial,Education,North America,New,32516.0,10.5,9381.42
Commercial,Education,North America,New,3484.5,3.5,1550.41
Commercial,Other,North America,New,92903.0,25.0,51341.11
Commercial,Other,Middle East,New,92903.0,10.5,144400.0
Commercial,Education,North America,New,3484.5,3.5,1435.28
Commercial,Other,Asia-Pacific,New,92903.0,25.0,42720.0
Commercial,Office,North America,New,32516.0,3.5,9658.99
Residential,Other,North America,New,69677.5,25.0,26186.22
Commercial,Other,North America,New,1626.5,3.5,474.14
Commercial,Education,North America,New,3484.5,3.5,1021.34
Commercial,Health Care,North America,New,6968.0,3.5,2319.02
Residential,Other,Asia-Pacific,New,6968.0,20.0,3078.0
Commercial,Public Assembly,North America,New,69677.5,10.5,15876.62
Commercial,Other,North America,New,32516.0,10.5,11404.75
Commercial,Other,Middle East,New,13935.5,3.5,5765.38
Commercial,Lodging,North America,New,69677.5,20.0,26376.67
Commercial,Other,Middle East,New,92903.0,10.5,134000.0
