Unique ID,Material,Sub-material,Quantity of declared unit,Units of declared unit,Weight per declared unit - kg,Density of material - kg per m3,Density range - low - kg per m3,Density Range - high - kg per m3,Carbon sequestration included?,Carbon Storage Amount (Kg CO2 per unit),Embodied Carbon (kg CO2e per declared unit),Embodied Carbon per kg (kg CO2e per kg)
b0c3519e-b432-44a7-a5c9-d3f8ee811ee5,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,457.102836,0.1921
5550899d-a363-4b32-afdf-6d9c06e8afe6,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,475.5992523,0.1998
f50d875b-fdcc-4da2-b21d-7baaf1b3cbb2,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,494.0956686,0.2076
6c760664-6bd7-4ea4-9606-d3b0564bcf61,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,96.34898079,0.0405
592f75e4-f6eb-441e-acbc-f5ac623cc671,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,109.2817246,0.0459
77524270-dfe0-4bd0-8a54-fce203fd8c77,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,122.2144684,0.0514
cfd72f99-dbad-4a0c-bec9-224e2e6409c8,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,135.1472122,0.0568
33e328c6-19f7-4e99-a87b-8ead6121994c,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,148.079956,0.0622
5a1506fb-898d-4ebd-801f-2925b3e52c6b,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,161.0126998,0.0677
ec92b17e-1631-4c22-b179-d1ebcd3aec71,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,173.9454436,0.0731
d8959537-552c-4d59-a4ec-2681a9768186,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,186.8781873,0.0785
98ce94b9-efc4-4453-9702-43f8fe01e6e2,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,199.9700316,0.084
43d4a8ca-3c79-4144-ab64-854574ecf3bd,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,213.0863528,0.0895
bc1769cf-57a9-43c6-839a-c11f7c898b43,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,226.227151,0.0951
9cf47a1e-9ffd-487c-a718-7dc2b1a15809,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,239.3924262,0.1006
c25f87b8-121b-4203-bf0a-e8bec4d868da,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,252.5821784,0.1061
da1929d2-b7e0-4cde-8bf6-422faf025aff,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,265.5761147,0.1116
b48680a2-3216-42c0-8c04-b70629254ace,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,278.5700509,0.117
64802f88-1fd9-4ee5-b44f-280e232994a2,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,291.5639872,0.1225
353435ff-b088-400c-8949-4e598bc56377,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,304.5579235,0.128
90a6bbae-3a0f-4ba9-88dc-8c100b656bac,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,317.5518598,0.1334
cc9fb2c2-77c0-41f2-a355-badc9199c6e3,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,330.545796,0.1389
3c58e56a-9699-4fc4-a2b6-ae133d96843e,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,343.5397323,0.1443
77b0c7b7-c3be-4a92-85ea-bd42cab6aec7,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,356.5336686,0.1498
4e6ac948-2080-49c4-ad8f-0812a0fc32eb,Concrete,"Concrete, by cementitious content",1,m3,2380,2380, , , , ,87.17818079,0.0366
