Building_Use_Type,Building_Use_Subtype,Continent,Building_Project_Type,Gross_Floor_Area_m2,Floors_Above_Ground,Total_Embodied_Carbon_PER_m2
0,0,4,0,697.5,3.5,795.0
0,1,4,0,6968.0,3.5,791.0
0,12,4,0,32516.0,3.5,790.0
0,9,4,0,32516.0,3.5,782.0
1,9,4,0,697.5,10.5,768.0
0,0,4,0,13935.5,3.5,746.0
0,9,4,0,32516.0,3.5,742.0
0,12,2,0,6968.0,25.0,701.0
0,0,4,0,6968.0,3.5,665.0
0,12,4,0,13935.5,3.5,662.0
0,9,4,0,279.5,3.5,661.0
0,0,4,0,32516.0,10.5,661.0
1,9,4,0,32516.0,25.0,655.0
0,1,4,0,6968.0,3.5,652.0
0,12,4,0,6968.0,3.5,651.0
0,0,4,0,3484.5,3.5,648.0
0,0,4,0,3484.5,3.5,645.0
0,12,4,0,1626.5,3.5,644.0
0,9,2,0,3484.5,3.5,643.0
1,9,1,0,92903.0,25.0,639.0
0,12,3,0,32516.0,25.0,626.0
0,1,4,0,6968.0,3.5,621.0
0,0,4,0,697.5,3.5,617.0
0,12,4,0,13935.5,3.5,610.0
0,0,4,0,13935.5,3.5,601.0
0,0,4,0,32516.0,3.5,598.0
0,5,3,0,69677.5,25.0,597.0
0,12,4,0,3484.5,3.5,594.0
0,5,4,0,32516.0,10.5,594.0
0,0,4,0,1626.5,3.5,583.0
0,0,4,0,6968.0,3.5,577.0
0,0,4,0,6968.0,3.5,576.0
0,12,3,0,13935.5,3.5,570.0
0,1,4,0,92903.0,20.0,562.0
0,12,4,0,69677.5,10.5,561.0
0,12,3,0,3484.5,3.5,544.0
0,9,4,0,697.5,3.5,542.0
0,9,1,0,69677.5,10.5,535.0
0,3,4,0,1626.5,3.5,533.0
0,1,4,0,69677.5,20.0,533.0
0,5,4,0,697.5,3.5,532.0
0,9,4,0,6968.0,3.5,529.0
1,9,2,0,32516.0,10.5,528.0
0,9,4,0,13935.5,3.5,516.0
0,0,4,0,1626.5,3.5,515.0
0,0,4,0,13935.5,3.5,510.0
0,0,4,0,6968.0,3.5,509.0
0,1,0,0,69677.5,10.5,508.0
0,12,4,0,32516.0,3.5,507.0
0,0,4,0,6968.0,3.5,487.0
0,1,4,0,1626.5,3.5,485.0
0,9,4,0,6968.0,3.5,480.0
0,9,4,0,32516.0,10.5,480.0
0,12,4,0,1626.5,3.5,478.0
1,9,4,0,32516.0,10.5,459.0
0,0,4,0,6968.0,3.5,456.0
0,12,3,0,32516.0,20.0,453.0
0,0,4,0,32516.0,10.5,446.0
0,0,4,0,3484.5,3.5,445.0
1,9,4,0,1626.5,3.5,444.0
0,9,1,0,92903.0,25.0,442.0
0,12,4,0,13935.5,3.5,440.0
0,12,4,0,69677.5,10.5,438.0
1,9,2,0,32516.0,10.5,437.0
0,8,4,0,32516.0,20.0,436.0
0,12,4,0,13935.5,3.5,435.0
0,12,3,0,69677.5,25.0,433.0
0,1,4,0,69677.5,25.0,428.0
0,12,4,0,13935.5,3.5,425.0
1,9,1,0,69677.5,25.0,424.0
0,0,4,0,3484.5,3.5,424.0
0,9,2,0,3484.5,3.5,423.0
0,9,4,0,6968.0,10.5,422.0
0,0,4,0,32516.0,10.5,421.0
0,5,3,0,32516.0,3.5,416.0
0,0,4,0,6968.0,3.5,413.0
0,5,4,0,1626.5,3.5,409.0
0,1,0,0,32516.0,10.5,408.0
0,1,4,0,32516.0,10.5,406.0
0,9,4,0,92903.0,25.0,405.0
0,1,4,0,92903.0,25.0,402.0
0,12,4,0,13935.5,3.5,402.0
0,9,1,0,69677.5,25.0,401.0
0,0,4,0,6968.0,3.5,401.0
0,9,4,0,32516.0,3.5,399.0
0,9,4,0,69677.5,10.5,392.0
0,0,4,0,6968.0,3.5,391.0
0,0,4,0,6968.0,3.5,389.0
0,1,4,0,32516.0,10.5,389.0
0,0,4,0,3484.5,3.5,386.0
0,0,3,0,69677.5,3.5,383.0
0,9,4,0,92903.0,3.5,381.0
0,12,4,0,32516.0,10.5,381.0
0,9,4,0,92903.0,25.0,380.0
0,9,3,0,92903.0,25.0,379.0
0,12,4,0,13935.5,3.5,377.0
0,0,4,0,32516.0,10.5,374.0
0,0,4,0,3484.5,3.5,371.0
0,9,4,0,92903.0,25.0,364.0
0,9,3,0,92903.0,10.5,361.0
0,0,4,0,3484.5,3.5,359.0
0,9,1,0,92903.0,25.0,356.0
0,8,4,0,32516.0,3.5,356.0
1,9,4,0,69677.5,25.0,355.0
0,9,4,0,1626.5,3.5,352.0
